00Z 01 01 2017,0.00,3.89
12Z 01 01 2017,0.00,4.93
00Z 02 01 2017,0.00,4.80
12Z 02 01 2017,0.00,4.45
00Z 03 01 2017,0.00,4.75
12Z 03 01 2017,0.00,4.72
00Z 04 01 2017,0.00,6.20
12Z 04 01 2017,0.00,9.98
00Z 05 01 2017,0.00,10.33
12Z 05 01 2017,0.00,6.13
00Z 06 01 2017,0.00,1.19
12Z 06 01 2017,0.00,1.18
00Z 07 01 2017,0.00,1.51
12Z 07 01 2017,0.00,6.42
00Z 08 01 2017,0.00,8.77
12Z 08 01 2017,0.00,13.41
00Z 09 01 2017,0.00,13.67
12Z 09 01 2017,0.00,13.30
00Z 10 01 2017,38.09,5.03
12Z 10 01 2017,0.00,9.09
00Z 11 01 2017,0.00,9.41
12Z 11 01 2017,8.81,9.09
00Z 12 01 2017,0.00,7.40
12Z 12 01 2017,0.00,6.69
00Z 13 01 2017,0.00,7.22
12Z 13 01 2017,0.00,7.52
00Z 14 01 2017,0.00,5.08
12Z 14 01 2017,0.00,4.84
00Z 15 01 2017,0.00,4.52
12Z 15 01 2017,0.00,4.01
00Z 16 01 2017,0.00,4.04
12Z 16 01 2017,0.00,3.34
00Z 17 01 2017,0.00,3.48
12Z 17 01 2017,0.00,3.69
00Z 18 01 2017,0.00,4.05
12Z 18 01 2017,0.00,6.82
00Z 19 01 2017,0.00,11.71
12Z 19 01 2017,0.00,10.61
00Z 20 01 2017,49.91,6.95
12Z 20 01 2017,0.00,6.52
00Z 21 01 2017,0.00,7.65
12Z 21 01 2017,0.00,6.20
00Z 22 01 2017,1.99,5.11
12Z 22 01 2017,0.00,5.59
00Z 23 01 2017,0.00,9.20
12Z 23 01 2017,0.00,8.42
00Z 24 01 2017,0.00,4.33
12Z 24 01 2017,0.00,4.14
00Z 25 01 2017,0.00,4.43
12Z 25 01 2017,0.00,4.09
00Z 26 01 2017,6.58,3.91
12Z 26 01 2017,0.00,4.24
00Z 27 01 2017,0.00,3.86
12Z 27 01 2017,0.00,4.29
00Z 28 01 2017,0.00,3.31
12Z 28 01 2017,0.00,3.98
00Z 29 01 2017,0.00,4.66
12Z 29 01 2017,0.00,5.39
00Z 30 01 2017,0.00,4.05
12Z 30 01 2017,0.00,4.97
00Z 31 01 2017,0.00,5.04
12Z 31 01 2017,0.00,3.31
00Z 01 02 2017,0.00,5.30
12Z 01 02 2017,0.00,4.17
00Z 02 02 2017,0.00,4.03
12Z 02 02 2017,0.00,8.24
00Z 03 02 2017,0.00,9.31
12Z 03 02 2017,0.00,7.57
00Z 04 02 2017,0.00,8.86
12Z 04 02 2017,0.00,7.57
00Z 05 02 2017,0.00,8.67
12Z 05 02 2017,0.00,8.67
00Z 06 02 2017,0.00,7.29
12Z 06 02 2017,0.00,7.69
00Z 07 02 2017,43.38,9.04
12Z 07 02 2017,0.00,12.83
00Z 08 02 2017,64.54,9.71
12Z 08 02 2017,0.00,6.55
00Z 09 02 2017,0.00,15.50
12Z 09 02 2017,0.00,14.24
00Z 10 02 2017,0.00,14.71
12Z 10 02 2017,0.00,14.26
00Z 11 02 2017,0.00,12.54
12Z 11 02 2017,0.00,8.43
00Z 12 02 2017,0.00,3.05
12Z 12 02 2017,0.00,1.39
00Z 13 02 2017,0.00,1.85
12Z 13 02 2017,0.00,2.49
00Z 14 02 2017,0.00,4.00
12Z 14 02 2017,0.00,2.99
00Z 15 02 2017,0.00,3.74
12Z 15 02 2017,0.00,3.48
00Z 16 02 2017,0.00,3.71
12Z 16 02 2017,0.00,10.56
00Z 17 02 2017,0.00,4.98
12Z 17 02 2017,0.00,6.04
00Z 18 02 2017,0.00,11.15
12Z 18 02 2017,0.00,10.54
00Z 19 02 2017,0.03,11.30
12Z 19 02 2017,4.26,9.80
00Z 20 02 2017,22.54,6.32
12Z 20 02 2017,0.00,9.94
00Z 21 02 2017,0.00,12.80
12Z 21 02 2017,0.00,9.09
00Z 22 02 2017,0.97,8.74
12Z 22 02 2017,0.00,6.76
00Z 23 02 2017,46.79,4.25
12Z 23 02 2017,0.00,4.09
00Z 24 02 2017,4.79,3.64
12Z 24 02 2017,0.00,3.27
00Z 25 02 2017,5.85,2.27
12Z 25 02 2017,0.00,3.54
00Z 26 02 2017,0.00,2.43
12Z 26 02 2017,0.00,3.08
00Z 27 02 2017,0.00,3.78
12Z 27 02 2017,0.00,5.47
00Z 28 02 2017,2.14,2.43
12Z 28 02 2017,0.00,3.62
00Z 01 03 2017,0.00,3.05
12Z 01 03 2017,0.00,3.96
00Z 02 03 2017,0.00,4.10
12Z 02 03 2017,0.00,3.98
00Z 03 03 2017,0.00,3.06
12Z 03 03 2017,0.00,2.67
00Z 04 03 2017,0.00,3.01
12Z 04 03 2017,0.00,3.54
00Z 05 03 2017,19.10,4.78
12Z 05 03 2017,0.00,3.66
00Z 06 03 2017,0.12,5.35
12Z 06 03 2017,0.06,3.06
00Z 07 03 2017,0.00,4.13
12Z 07 03 2017,0.00,6.07
00Z 08 03 2017,0.00,10.92
12Z 08 03 2017,0.00,10.69
00Z 09 03 2017,0.00,9.03
12Z 09 03 2017,0.00,10.39
00Z 10 03 2017,0.00,10.30
12Z 10 03 2017,0.00,11.03
00Z 11 03 2017,0.00,11.51
12Z 11 03 2017,0.00,8.09
00Z 12 03 2017,0.00,6.76
12Z 12 03 2017,0.00,8.05
00Z 13 03 2017,0.00,7.67
12Z 13 03 2017,0.00,8.17
00Z 14 03 2017,0.00,5.32
12Z 14 03 2017,0.00,3.57
00Z 15 03 2017,0.00,4.04
12Z 15 03 2017,0.00,6.09
00Z 16 03 2017,0.00,5.90
12Z 16 03 2017,0.00,8.15
00Z 17 03 2017,0.00,9.10
12Z 17 03 2017,0.00,8.36
00Z 18 03 2017,0.00,8.47
12Z 18 03 2017,0.00,8.86
00Z 19 03 2017,12.30,11.36
12Z 19 03 2017,0.00,9.88
00Z 20 03 2017,0.00,9.72
12Z 20 03 2017,0.00,9.65
00Z 21 03 2017,3.16,8.76
12Z 21 03 2017,0.00,8.04
00Z 22 03 2017,0.00,11.32
12Z 22 03 2017,0.00,12.96
00Z 23 03 2017,0.00,10.04
12Z 23 03 2017,0.00,9.52
00Z 24 03 2017,0.00,4.47
12Z 24 03 2017,0.00,6.22
00Z 25 03 2017,0.00,11.24
12Z 25 03 2017,0.32,10.43
00Z 26 03 2017,0.66,5.40
12Z 26 03 2017,0.00,5.90
00Z 27 03 2017,0.00,9.39
12Z 27 03 2017,0.00,9.61
00Z 28 03 2017,6.18,6.10
12Z 28 03 2017,0.00,4.85
00Z 29 03 2017,0.00,6.76
12Z 29 03 2017,0.00,8.94
00Z 30 03 2017,0.00,12.99
12Z 30 03 2017,16.14,14.89
00Z 31 03 2017,0.93,7.09
12Z 31 03 2017,0.00,8.67
00Z 01 04 2017,0.00,9.21
12Z 01 04 2017,0.00,7.53
00Z 02 04 2017,0.00,7.89
12Z 02 04 2017,0.00,11.37
00Z 03 04 2017,9.04,5.24
12Z 03 04 2017,0.00,4.27
00Z 04 04 2017,0.00,2.22
12Z 04 04 2017,0.00,2.58
00Z 05 04 2017,0.00,5.47
12Z 05 04 2017,0.00,9.94
00Z 06 04 2017,0.00,7.61
12Z 06 04 2017,0.00,7.97
00Z 07 04 2017,0.00,8.95
12Z 07 04 2017,0.00,10.73
00Z 08 04 2017,0.00,13.70
12Z 08 04 2017,48.86,9.07
00Z 09 04 2017,25.20,5.94
12Z 09 04 2017,0.00,3.66
00Z 10 04 2017,0.00,4.37
12Z 10 04 2017,0.00,4.37
00Z 11 04 2017,0.00,4.61
12Z 11 04 2017,0.00,6.71
00Z 12 04 2017,0.00,8.48
12Z 12 04 2017,0.00,8.44
00Z 13 04 2017,0.00,8.80
12Z 13 04 2017,0.00,5.66
00Z 14 04 2017,0.00,8.88
12Z 14 04 2017,0.00,5.59
00Z 15 04 2017,7.71,5.00
12Z 15 04 2017,0.00,4.56
00Z 16 04 2017,0.00,5.17
12Z 16 04 2017,0.00,7.77
00Z 17 04 2017,0.00,7.50
12Z 17 04 2017,0.00,13.80
00Z 18 04 2017,3.56,11.54
12Z 18 04 2017,0.00,15.70
00Z 19 04 2017,15.26,10.89
12Z 19 04 2017,0.00,9.32
00Z 20 04 2017,15.77,7.48
12Z 20 04 2017,0.00,9.36
00Z 21 04 2017,26.11,6.20
12Z 21 04 2017,0.00,6.11
00Z 22 04 2017,0.00,6.67
12Z 22 04 2017,0.00,6.54
00Z 23 04 2017,0.00,8.19
12Z 23 04 2017,0.00,10.94
00Z 24 04 2017,0.00,5.95
12Z 24 04 2017,0.00,10.46
00Z 25 04 2017,0.00,8.60
12Z 25 04 2017,0.00,7.43
00Z 26 04 2017,1.49,5.99
12Z 26 04 2017,0.00,11.15
00Z 27 04 2017,13.72,11.27
12Z 27 04 2017,0.92,5.56
00Z 28 04 2017,4.43,5.82
12Z 28 04 2017,0.00,4.87
00Z 29 04 2017,11.10,5.61
12Z 29 04 2017,0.00,5.19
00Z 30 04 2017,0.00,5.54
12Z 30 04 2017,0.00,9.11
00Z 01 05 2017,12.88,10.84
12Z 01 05 2017,0.00,7.85
00Z 02 05 2017,0.00,8.87
12Z 02 05 2017,5.17,13.04
00Z 03 05 2017,0.00,7.39
12Z 03 05 2017,0.00,8.75
00Z 04 05 2017,0.00,10.81
12Z 04 05 2017,0.00,10.81
00Z 05 05 2017,0.00,8.93
12Z 05 05 2017,0.00,10.25
00Z 06 05 2017,5.11,13.89
12Z 06 05 2017,39.03,12.05
00Z 07 05 2017,86.00,13.32
12Z 07 05 2017,0.00,9.80
00Z 08 05 2017,468.44,13.41
12Z 08 05 2017,0.00,10.79
00Z 09 05 2017,40.86,11.45
12Z 09 05 2017,0.00,7.68
00Z 10 05 2017,0.00,6.79
12Z 10 05 2017,0.00,6.48
00Z 11 05 2017,0.00,9.36
12Z 11 05 2017,0.00,9.21
00Z 12 05 2017,129.28,11.76
12Z 12 05 2017,0.00,11.16
00Z 13 05 2017,0.00,13.38
12Z 13 05 2017,0.00,9.76
00Z 14 05 2017,25.43,5.48
12Z 14 05 2017,0.00,6.13
00Z 15 05 2017,0.00,8.25
12Z 15 05 2017,0.00,9.96
00Z 16 05 2017,31.50,9.17
12Z 16 05 2017,0.00,9.39
00Z 17 05 2017,0.00,12.29
12Z 17 05 2017,0.00,5.30
00Z 18 05 2017,0.00,6.31
12Z 18 05 2017,0.00,10.30
00Z 19 05 2017,8.47,6.88
12Z 19 05 2017,0.00,9.11
00Z 20 05 2017,13.82,9.86
12Z 20 05 2017,0.00,10.32
00Z 21 05 2017,99.13,9.80
12Z 21 05 2017,0.00,11.77
00Z 22 05 2017,8.30,10.10
12Z 22 05 2017,0.00,8.44
00Z 23 05 2017,0.00,10.60
12Z 23 05 2017,0.00,9.41
00Z 24 05 2017,0.00,8.98
12Z 24 05 2017,0.00,9.62
00Z 25 05 2017,0.00,7.17
12Z 25 05 2017,0.00,11.15
00Z 26 05 2017,0.00,6.95
12Z 26 05 2017,0.00,11.17
00Z 27 05 2017,0.00,8.71
12Z 27 05 2017,0.00,7.99
00Z 28 05 2017,0.00,6.30
12Z 28 05 2017,0.00,7.10
00Z 29 05 2017,0.00,6.98
12Z 29 05 2017,0.00,8.64
00Z 30 05 2017,0.00,6.87
12Z 30 05 2017,0.00,8.54
00Z 31 05 2017,18.12,9.07
12Z 31 05 2017,0.00,7.46
00Z 01 06 2017,0.00,9.13
12Z 01 06 2017,0.00,10.24
00Z 02 06 2017,117.91,12.19
12Z 02 06 2017,0.00,10.72
00Z 03 06 2017,0.00,7.92
12Z 03 06 2017,0.00,11.24
00Z 04 06 2017,13.81,11.72
12Z 04 06 2017,0.00,12.14
00Z 05 06 2017,2.01,13.41
12Z 05 06 2017,0.00,12.19
00Z 06 06 2017,0.00,10.08
12Z 06 06 2017,0.00,14.16
00Z 07 06 2017,154.39,13.67
12Z 07 06 2017,0.00,14.13
00Z 08 06 2017,13.00,10.99
12Z 08 06 2017,0.00,8.78
00Z 09 06 2017,0.00,12.12
12Z 09 06 2017,0.00,17.33
00Z 10 06 2017,0.00,15.89
12Z 10 06 2017,0.00,13.04
00Z 11 06 2017,0.00,6.43
12Z 11 06 2017,0.00,10.46
00Z 12 06 2017,0.00,13.06
12Z 12 06 2017,0.00,12.26
00Z 13 06 2017,0.28,12.29
12Z 13 06 2017,0.00,15.94
00Z 14 06 2017,0.00,10.51
12Z 14 06 2017,0.00,8.60
00Z 15 06 2017,0.00,7.66
12Z 15 06 2017,0.00,11.09
00Z 16 06 2017,0.00,14.20
12Z 16 06 2017,0.00,19.83
00Z 17 06 2017,150.43,19.66
12Z 17 06 2017,0.00,22.46
00Z 18 06 2017,0.00,19.96
12Z 18 06 2017,0.00,16.56
00Z 19 06 2017,0.00,14.27
12Z 19 06 2017,0.00,15.24
00Z 20 06 2017,307.81,18.75
12Z 20 06 2017,0.00,19.78
00Z 21 06 2017,591.29,17.84
12Z 21 06 2017,11.17,17.56
00Z 22 06 2017,690.77,23.43
12Z 22 06 2017,0.00,8.96
00Z 23 06 2017,0.00,8.17
12Z 23 06 2017,0.00,6.80
00Z 24 06 2017,0.00,8.40
12Z 24 06 2017,0.00,7.39
00Z 25 06 2017,0.00,7.53
12Z 25 06 2017,0.00,7.25
00Z 26 06 2017,88.93,11.05
12Z 26 06 2017,0.00,13.54
00Z 27 06 2017,426.70,16.83
12Z 27 06 2017,0.00,7.71
00Z 28 06 2017,0.00,8.76
12Z 28 06 2017,0.00,9.23
00Z 29 06 2017,0.00,9.29
12Z 29 06 2017,0.00,8.06
00Z 30 06 2017,0.00,6.00
12Z 30 06 2017,0.00,5.91
00Z 01 07 2017,0.00,5.30
12Z 01 07 2017,0.00,7.59
00Z 02 07 2017,327.33,13.77
12Z 02 07 2017,0.00,13.09
00Z 03 07 2017,48.40,11.37
12Z 03 07 2017,0.00,11.97
00Z 04 07 2017,351.28,13.55
12Z 04 07 2017,0.00,17.26
00Z 05 07 2017,466.08,14.05
12Z 05 07 2017,0.00,14.44
00Z 06 07 2017,159.73,12.72
12Z 06 07 2017,0.00,13.46
00Z 07 07 2017,421.20,17.79
12Z 07 07 2017,0.00,17.15
00Z 08 07 2017,379.04,15.96
12Z 08 07 2017,0.00,17.92
00Z 09 07 2017,429.06,18.55
12Z 09 07 2017,0.75,20.35
00Z 10 07 2017,73.98,19.11
12Z 10 07 2017,0.00,15.32
00Z 11 07 2017,0.00,10.38
12Z 11 07 2017,0.00,10.70
00Z 12 07 2017,0.00,7.54
12Z 12 07 2017,0.00,11.11
00Z 13 07 2017,46.50,11.00
12Z 13 07 2017,0.00,12.53
00Z 14 07 2017,38.52,17.07
12Z 14 07 2017,3.02,19.81
00Z 15 07 2017,663.17,18.24
12Z 15 07 2017,0.00,17.43
00Z 16 07 2017,374.31,16.24
12Z 16 07 2017,0.00,13.87
00Z 17 07 2017,59.48,18.31
12Z 17 07 2017,0.00,16.79
00Z 18 07 2017,0.00,10.50
12Z 18 07 2017,0.00,11.27
00Z 19 07 2017,0.00,11.30
12Z 19 07 2017,0.00,9.25
00Z 20 07 2017,0.00,11.51
12Z 20 07 2017,0.00,10.69
00Z 21 07 2017,0.00,13.12
12Z 21 07 2017,0.00,9.44
00Z 22 07 2017,0.00,10.91
12Z 22 07 2017,0.00,12.20
00Z 23 07 2017,275.40,13.64
12Z 23 07 2017,0.00,15.32
00Z 24 07 2017,459.79,16.93
12Z 24 07 2017,0.00,19.49
00Z 25 07 2017,229.89,20.57
12Z 25 07 2017,0.00,25.86
00Z 26 07 2017,314.50,20.41
12Z 26 07 2017,5.23,20.44
00Z 27 07 2017,342.11,18.14
12Z 27 07 2017,22.50,21.98
00Z 28 07 2017,0.00,13.58
12Z 28 07 2017,0.00,17.38
00Z 29 07 2017,311.51,14.15
12Z 29 07 2017,59.08,16.38
00Z 30 07 2017,565.20,13.37
12Z 30 07 2017,0.00,16.45
00Z 31 07 2017,172.72,17.03
12Z 31 07 2017,0.00,16.54
00Z 01 08 2017,107.26,13.77
12Z 01 08 2017,0.00,11.72
00Z 02 08 2017,44.33,11.29
12Z 02 08 2017,0.00,13.23
00Z 03 08 2017,182.65,15.26
12Z 03 08 2017,0.00,17.47
00Z 04 08 2017,105.44,17.27
12Z 04 08 2017,0.00,15.25
00Z 05 08 2017,118.77,11.93
12Z 05 08 2017,0.00,11.94
00Z 06 08 2017,0.00,10.49
12Z 06 08 2017,0.00,13.89
00Z 07 08 2017,0.00,17.10
12Z 07 08 2017,0.00,19.36
00Z 08 08 2017,349.48,21.53
12Z 08 08 2017,6.68,21.30
00Z 09 08 2017,187.36,16.42
12Z 09 08 2017,31.31,22.99
00Z 10 08 2017,132.30,13.19
12Z 10 08 2017,0.00,18.73
00Z 11 08 2017,399.46,15.15
12Z 11 08 2017,1.95,15.84
00Z 12 08 2017,235.77,11.98
12Z 12 08 2017,0.00,14.64
00Z 13 08 2017,58.01,12.70
12Z 13 08 2017,0.00,13.28
00Z 14 08 2017,40.70,15.31
12Z 14 08 2017,0.00,18.90
00Z 15 08 2017,129.74,21.71
12Z 15 08 2017,0.00,14.02
00Z 16 08 2017,9.61,11.40
12Z 16 08 2017,0.00,14.50
00Z 17 08 2017,70.69,18.24
12Z 17 08 2017,0.00,14.21
00Z 18 08 2017,0.00,10.71
12Z 18 08 2017,0.00,12.74
00Z 19 08 2017,0.00,8.98
12Z 19 08 2017,0.00,10.02
00Z 20 08 2017,429.30,14.59
12Z 20 08 2017,0.00,16.25
00Z 21 08 2017,94.84,14.08
12Z 21 08 2017,0.00,15.78
00Z 22 08 2017,79.64,12.93
12Z 22 08 2017,0.00,17.55
00Z 23 08 2017,313.64,23.52
12Z 23 08 2017,3.47,20.69
00Z 24 08 2017,586.24,16.90
12Z 24 08 2017,0.00,16.33
00Z 25 08 2017,95.39,14.02
12Z 25 08 2017,0.00,15.01
00Z 26 08 2017,76.78,12.76
12Z 26 08 2017,0.00,14.86
00Z 27 08 2017,172.74,15.05
12Z 27 08 2017,0.00,16.97
00Z 28 08 2017,171.51,16.50
12Z 28 08 2017,0.00,19.20
00Z 29 08 2017,393.23,18.26
12Z 29 08 2017,0.47,19.48
00Z 30 08 2017,337.30,17.06
12Z 30 08 2017,0.00,22.76
00Z 31 08 2017,17.84,24.33
12Z 31 08 2017,0.00,17.89
00Z 01 09 2017,30.93,14.62
12Z 01 09 2017,0.00,14.21
00Z 02 09 2017,0.00,12.25
12Z 02 09 2017,0.00,10.35
00Z 03 09 2017,0.00,8.99
12Z 03 09 2017,0.00,12.80
00Z 04 09 2017,83.24,10.35
12Z 04 09 2017,0.00,12.69
00Z 05 09 2017,221.40,12.31
12Z 05 09 2017,0.00,13.04
00Z 06 09 2017,150.25,12.75
12Z 06 09 2017,0.00,11.02
00Z 07 09 2017,203.26,12.79
12Z 07 09 2017,0.00,18.13
00Z 08 09 2017,220.80,17.04
12Z 08 09 2017,0.00,15.95
00Z 09 09 2017,18.67,23.97
12Z 09 09 2017,0.00,21.54
00Z 10 09 2017,0.49,18.29
12Z 10 09 2017,0.00,19.44
00Z 11 09 2017,0.00,14.38
12Z 11 09 2017,0.00,16.85
00Z 12 09 2017,135.14,16.18
12Z 12 09 2017,0.00,18.49
00Z 13 09 2017,229.22,15.82
12Z 13 09 2017,0.40,19.47
00Z 14 09 2017,232.23,14.19
12Z 14 09 2017,4.59,16.47
00Z 15 09 2017,0.00,14.15
12Z 15 09 2017,0.00,12.26
00Z 16 09 2017,0.00,6.59
12Z 16 09 2017,0.00,5.13
00Z 17 09 2017,0.00,4.05
12Z 17 09 2017,0.00,9.98
00Z 18 09 2017,0.00,7.70
12Z 18 09 2017,0.00,10.52
00Z 19 09 2017,0.00,13.15
12Z 19 09 2017,0.00,13.43
00Z 21 09 2017,0.00,15.00
12Z 21 09 2017,0.00,14.55
00Z 22 09 2017,0.00,9.91
12Z 22 09 2017,0.00,9.05
00Z 23 09 2017,0.00,7.60
12Z 23 09 2017,0.00,7.23
00Z 24 09 2017,30.07,7.53
12Z 24 09 2017,0.00,5.92
00Z 25 09 2017,17.18,6.52
12Z 25 09 2017,0.00,8.51
00Z 26 09 2017,0.00,8.67
12Z 26 09 2017,0.00,10.90
00Z 27 09 2017,0.00,7.51
12Z 27 09 2017,0.00,7.14
00Z 28 09 2017,0.00,6.88
12Z 28 09 2017,0.00,6.49
00Z 29 09 2017,0.00,5.18
12Z 29 09 2017,0.00,7.20
00Z 30 09 2017,0.00,6.96
12Z 30 09 2017,0.00,14.96
00Z 01 10 2017,55.90,11.00
12Z 01 10 2017,0.00,8.02
00Z 02 10 2017,6.02,5.81
12Z 02 10 2017,0.00,7.53
00Z 04 10 2017,0.00,7.89
12Z 04 10 2017,0.00,12.95
00Z 05 10 2017,0.00,7.23
12Z 05 10 2017,0.00,7.16
00Z 06 10 2017,0.11,8.42
12Z 06 10 2017,0.00,8.75
00Z 07 10 2017,0.00,7.21
12Z 07 10 2017,0.00,7.03
00Z 08 10 2017,0.00,9.02
12Z 08 10 2017,0.00,7.75
00Z 09 10 2017,0.00,4.94
12Z 09 10 2017,0.00,4.38
00Z 10 10 2017,0.00,4.45
12Z 10 10 2017,0.00,4.19
00Z 11 10 2017,0.00,4.86
12Z 11 10 2017,0.00,5.74
00Z 12 10 2017,0.00,5.15
12Z 12 10 2017,0.00,3.55
00Z 13 10 2017,0.00,2.83
12Z 13 10 2017,0.00,4.62
00Z 14 10 2017,0.00,4.65
12Z 14 10 2017,0.00,2.48
00Z 15 10 2017,0.00,3.27
12Z 15 10 2017,0.00,3.10
00Z 16 10 2017,0.00,2.72
12Z 16 10 2017,0.00,3.18
00Z 17 10 2017,0.00,4.22
12Z 17 10 2017,0.00,4.95
00Z 18 10 2017,0.00,6.03
12Z 18 10 2017,0.00,3.91
00Z 19 10 2017,0.00,3.94
12Z 19 10 2017,0.00,3.66
00Z 20 10 2017,0.00,6.90
12Z 20 10 2017,0.00,9.09
00Z 21 10 2017,0.00,6.44
12Z 21 10 2017,0.00,7.28
00Z 22 10 2017,0.00,14.69
12Z 22 10 2017,0.00,10.57
00Z 23 10 2017,0.00,14.91
12Z 23 10 2017,0.00,15.19
00Z 24 10 2017,0.00,9.83
12Z 24 10 2017,0.00,6.60
00Z 25 10 2017,0.00,5.85
12Z 25 10 2017,0.00,5.14
00Z 26 10 2017,0.00,6.32
12Z 26 10 2017,0.00,7.37
00Z 27 10 2017,0.00,8.35
12Z 27 10 2017,0.00,7.27
00Z 28 10 2017,0.00,10.21
12Z 28 10 2017,0.00,10.67
00Z 29 10 2017,0.00,8.44
12Z 29 10 2017,0.00,8.57
00Z 30 10 2017,0.00,8.34
12Z 30 10 2017,0.00,7.74
00Z 31 10 2017,0.00,9.08
12Z 31 10 2017,0.00,5.11
00Z 01 11 2017,0.00,5.62
12Z 01 11 2017,0.00,7.61
00Z 02 11 2017,0.00,8.47
12Z 02 11 2017,0.00,7.48
00Z 03 11 2017,0.00,9.51
12Z 03 11 2017,0.00,11.66
00Z 04 11 2017,0.00,12.57
12Z 04 11 2017,0.00,13.51
00Z 05 11 2017,0.00,9.89
12Z 05 11 2017,7.92,9.84
00Z 06 11 2017,0.00,6.96
12Z 06 11 2017,0.00,5.67
00Z 07 11 2017,0.00,5.46
12Z 07 11 2017,0.00,3.79
00Z 08 11 2017,0.00,2.37
12Z 08 11 2017,0.00,3.88
00Z 09 11 2017,0.00,7.18
12Z 09 11 2017,0.00,8.64
00Z 10 11 2017,15.06,9.41
12Z 10 11 2017,0.00,10.80
00Z 11 11 2017,0.00,5.96
12Z 11 11 2017,0.00,7.46
00Z 12 11 2017,0.00,4.09
12Z 12 11 2017,0.00,6.05
00Z 13 11 2017,0.00,7.08
12Z 13 11 2017,0.00,4.97
00Z 14 11 2017,0.00,8.05
12Z 14 11 2017,0.00,10.10
00Z 15 11 2017,0.00,4.30
12Z 15 11 2017,0.00,8.53
00Z 16 11 2017,0.00,13.41
12Z 16 11 2017,0.00,14.30
00Z 17 11 2017,2.26,15.40
12Z 17 11 2017</H2>
                             Station number: 72582,0.00
00Z 18 11 2017,0.00,4.15
12Z 18 11 2017,0.00,3.73
00Z 19 11 2017,0.00,3.55
12Z 19 11 2017,0.00,3.57
00Z 20 11 2017,0.00,3.07
12Z 20 11 2017,0.00,12.73
00Z 21 11 2017,0.00,14.60
12Z 21 11 2017,0.00,19.51
00Z 22 11 2017,0.00,19.44
12Z 22 11 2017,0.00,12.67
00Z 23 11 2017,0.00,12.98
12Z 23 11 2017,0.00,13.89
00Z 24 11 2017,0.00,13.70
12Z 24 11 2017,0.00,8.55
00Z 25 11 2017,0.00,7.66
12Z 25 11 2017,0.00,7.22
00Z 26 11 2017,0.00,8.88
12Z 26 11 2017,0.00,10.06
00Z 27 11 2017,0.00,9.65
12Z 27 11 2017,0.00,12.94
00Z 28 11 2017,0.00,5.30
12Z 28 11 2017,0.00,5.28
00Z 29 11 2017,0.00,6.86
12Z 29 11 2017,0.00,6.13
00Z 30 11 2017,0.00,5.30
12Z 30 11 2017,0.00,7.61
00Z 01 12 2017,0.00,8.20
12Z 01 12 2017,0.00,11.26
00Z 02 12 2017,0.00,6.99
12Z 02 12 2017,0.00,6.33
00Z 03 12 2017,0.00,7.75
12Z 03 12 2017,0.00,6.17
00Z 04 12 2017,0.00,4.42
12Z 04 12 2017,0.00,3.64
00Z 05 12 2017,2.34,4.11
12Z 05 12 2017,0.00,4.04
00Z 06 12 2017,0.00,5.53
12Z 06 12 2017,0.00,5.29
00Z 07 12 2017,0.00,2.43
12Z 07 12 2017,0.00,4.55
00Z 08 12 2017,0.00,5.55
12Z 08 12 2017,0.00,4.01
00Z 09 12 2017,0.00,2.91
12Z 09 12 2017,0.00,2.86
00Z 10 12 2017,0.00,2.39
12Z 10 12 2017,0.00,2.61
00Z 11 12 2017,0.00,2.48
12Z 11 12 2017,0.00,2.75
00Z 12 12 2017,0.00,2.28
12Z 12 12 2017,0.00,2.33
00Z 13 12 2017,0.00,2.33
12Z 13 12 2017,0.00,2.44
00Z 14 12 2017,0.00,5.35
12Z 14 12 2017,0.00,4.69
00Z 15 12 2017,0.00,4.48
12Z 15 12 2017,0.00,4.73
00Z 16 12 2017,0.00,7.57
12Z 16 12 2017,0.00,9.34
00Z 17 12 2017,0.00,3.45
12Z 17 12 2017,0.00,4.47
00Z 18 12 2017,0.00,7.07
12Z 18 12 2017,0.00,10.03
00Z 19 12 2017,0.00,8.29
12Z 19 12 2017,0.00,6.60
00Z 20 12 2017,0.00,6.82
12Z 20 12 2017,0.00,5.48
00Z 21 12 2017,0.00,2.74
12Z 21 12 2017,0.00,3.90
00Z 22 12 2017,0.00,2.96
12Z 22 12 2017,0.00,4.96
00Z 23 12 2017,0.00,10.22
12Z 23 12 2017,0.00,9.73
00Z 24 12 2017,0.00,4.38
12Z 24 12 2017,0.00,5.81
00Z 25 12 2017,0.00,12.74
00Z 26 12 2017,0.00,5.86
12Z 26 12 2017,0.00,6.14
00Z 27 12 2017,0.00,3.93
12Z 27 12 2017,0.00,3.71
00Z 28 12 2017,0.00,6.38
12Z 28 12 2017,0.00,4.05
00Z 29 12 2017,0.00,4.98
12Z 29 12 2017,0.00,3.30
00Z 30 12 2017,0.00,3.62
12Z 30 12 2017,0.00,3.61
00Z 31 12 2017,0.00,8.79
12Z 31 12 2017,0.00,8.01
